Date ,type,distance,time,pace,calories,altitude,comments,race
16.10.16,Running,14.35 km,1:24:13,5:52,1143,24 m,,no
10.10.16,Running,13.76 km,1:08:38,4:59,1100,263 m,,no
07.10.16,Running,8.53 km,42:59:00,5:02,688,148 m,,no
03.10.16,Running,4.82 km,21:00,4:21,355,30 m,,no
30.09.16,Running,9.23 km,51:41:00,5:35,733,4 m,,no
28.09.16,Running,11.39 km,52:39:00,4:37,875,21 m,,no
27.09.16,Running,11.62 km,58:08:00,5:00,932,22 m,,no
26.09.16,Running,9.64 km,45:10:00,4:41,766,22 m,,no
14.09.16,Running,5.34 km,26:17:00,4:55,423,6 m,,no
07.09.16,Running,6.17 km,36:23:00,5:53,489,13 m,,no
31.08.16,Running,7.08 km,33:16:00,4:42,569,4 m,,no
18.08.16,Running,7.25 km,32:43:00,4:30,581,6 m,,no
11.08.16,Running,7.11 km,29:24:00,4:08,563,6 m,,no
05.08.16,Running,7.08 km,31:51:00,4:29,573,4 m,,no
03.08.16,Running,7.05 km,31:41:00,4:29,563,3 m,,no
31.07.16,Running,12.01 km,56:43:00,4:43,963,7 m,,no
22.07.16,Running,11.19 km,53:56:00,4:49,903,22 m,,no
06.05.16,Running,9.83 km,42:56:00,4:22,771,8 m,golden 10 10k 2016 race,yes
05.05.16,Running,4.87 km,19:20,3:58,364,6 m,golden 10 5km race 2016,yes
30.04.16,Running,10.00 km,42:26:00,4:14,792,13 m,,no
21.04.16,Running,12.00 km,50:45:00,4:13,855,25 m,,no
18.04.16,Running,11.40 km,49:53:00,4:22,875,31 m,,no
11.04.16,Running,11.60 km,53:51:00,4:38,885,33 m,,no
08.02.16,Running,11.92 km,54:48:00,4:35,926,27 m,,no
26.01.16,Running,13.02 km,53:03:00,4:04,897,37 m,,no
06.01.16,Running,6.95 km,32:29:00,4:40,559,-,,no
04.01.16,Running,11.33 km,53:09:00,4:41,916,22 m,,no
13.12.15,Running,14.95 km,1:00:51,4:04,1174,86 m,bruggenloop 2015,yes
14.11.15,Running,13.78 km,57:50:00,4:11,1097,14 m,,no
10.11.15,Running,11.18 km,48:19:00,4:19,864,25 m,,no
02.11.15,Running,11.34 km,50:57:00,4:29,891,21 m,,no
14.10.15,Running,11.26 km,46:58:00,4:10,857,24 m,,no
04.10.15,Running,21.07 km,1:26:46,4:07,1675,47 m,singelloop halve marathon breda 2015,yes
24.09.15,Running,11.32 km,50:06:00,4:25,906,25 m,,no
22.09.15,Running,15.98 km,1:14:48,4:40,1300,36 m,,no
08.09.15,Running,11.16 km,48:58:00,4:23,892,26 m,,no
04.09.15,Running,11.65 km,53:11:00,4:33,898,32 m,,no
01.08.15,Running,7.37 km,37:03:00,5:01,591,1 m,,no
29.07.15,Running,5.38 km,24:48:00,4:36,397,75 m,"Great Windsor park, take II",no
28.07.15,Running,10.98 km,55:52:00,5:05,811,127 m,"Great Windsor park, take II",no
26.07.15,Running,7.71 km,1:07:50,8:47,598,23 m,,no
24.07.15,biking,12.46 km,33:17:00,2:40,67,17 m,,no
23.07.15,biking,12.47 km,30:04:00,2:24,34,13 m,,no
23.07.15,biking,12.65 km,34:52:00,2:45,120,12 m,,no
22.07.15,Running,11.16 km,51:21:00,4:36,893,22 m,,no
22.07.15,biking,12.55 km,28:36:00,2:16,25,24 m,biking,no
22.07.15,biking,12.47 km,31:08:00,2:29,31,22 m,,no
21.07.15,biking,12.28 km,29:20:00,2:23,25,20 m,,no
21.07.15,biking,12.48 km,32:07:00,2:34,55,17 m,,no
20.07.15,biking,13.29 km,32:08:00,2:25,52,9 m,,no
16.07.15,Running,12.18 km,57:23:00,4:42,983,25 m,,no
15.07.15,biking,12.52 km,31:18:00,2:29,56,16 m,,no
14.07.15,biking,12.56 km,31:05:00,2:28,39,22 m,,no
14.07.15,Running,14.66 km,1:48:44,7:25,224,22 m,WTF,no
13.07.15,biking,13.60 km,37:24:00,2:44,138,16 m,,no
13.07.15,biking,13.84 km,36:18:00,2:37,86,18 m,,no
10.07.15,biking,12.26 km,34:50:00,2:50,101,15 m,,no
10.07.15,biking,12.72 km,32:51:00,2:34,65,24 m,,no
09.07.15,biking,12.41 km,29:09:00,2:20,93,15 m,,no
08.07.15,biking,9.22 km,26:00:00,2:49,46,8 m,,no
08.07.15,biking,12.29 km,34:19:00,2:47,99,10 m,,no
07.07.15,biking,12.48 km,34:56:00,2:47,123,15 m,,no
07.07.15,biking,12.86 km,35:21:00,2:44,116,17 m,,no
